"English","العربية"
"Tenant name is required.","Tenant name is required."
"Tenant name or email","Tenant name أو email"
"Tenant not found","Tenant not found"
"Failed to restore tenant","Failed to restore tenant"
"Tenant restored successfully","Tenant restored successfully"
"Tenant Settings","Tenant Settings"
"Tenant status updated","Tenant status updated"
"Tenant status updated successfully","Tenant status updated successfully"
"Tenant updated successfully","Tenant updated successfully"
"Tenant Users","Tenant Users"
"Tenant verified successfully","Tenant verified successfully"
"Tenant Viewed:","Tenant Viewed:"
"Tenants","Tenants"
"Terms and Conditions","الشروط و Conditions"
"Set up and manage your terms and conditions page that users can view","Set up and manage your terms and conditions page that users can view"
"Terms of Service","Terms of Service"
"Test","اختبار"
"Test Connection","Test Connection"
"Test Mode","Test Mode"
"Test Pusher","Test Pusher"
"Testimonial","Testimonial"
"Testimonial not found","Testimonial not found"
"Testimonial settings","Testimonial settings"
"Testimonials","Testimonials"
"Testimonials updated successfully","Testimonials updated successfully"
"Testing","الاختبار"
"Text to add before invoice number","Text to add before invoice number"
"the base currency.","the base currency."
"The Translation Cannot Be A JSON object Or Array","The Translation Cannot Be A JSON object Or Array"
"Their billing cycle will restart and they&#039;ll regain access to all features immediately.","Their billing cycle will restart و they&#039;ll regain access to all features immediately."
"Theme","المظهر"
"Theme Manager","Theme Manager"
"Theme Settings","Theme Settings"
"Customize your application by setting the favicon, site logo, dark logo, and cover page image to enhance branding and user experience.","Customize your application by setting the favicon, site logo, dark logo, and cover page image to enhance branding and user experience."
"Theme Style","Theme Style"
"Theme style saved and applied successfully!","Theme style saved و applied successfully!"
"Theme Style Settings","Theme Style Settings"
"These are the default permissions for API access","These are the default permissions for API access"
"These instructions will be shown to customers during checkout","These instructions will be shown to customers during checkout"
"This","This"
"This action cannot be undone.","This action cannot be undone."
"This information appears on your invoices","This information appears on your invoices"
" This logo will be removed after saving."," This logo will be removed after saving."
"This Month","هذا الشهر"
"This text appears at the bottom of all invoices","This text appears at the bottom of all invoices"
"This ticket is closed and cannot be modified.","This ticket is closed و cannot be modified."
"This transaction is not an offline payment.","This transaction is not an offline payment."
"This transaction is not pending.","This transaction is not pending."
"This URL must be publicly accessible for Stripe to send webhook events.","This URL must be publicly accessible for Stripe to send webhook events."
"This Week","هذا الأسبوع"
"This Year","هذا العام"
"Thousand Separator","Thousand Separator"
"Ticket #","Ticket #"
"Ticket Closed","Ticket Closed"
"Ticket closed by admin","Ticket closed by admin"
"Ticket closed by admin after reply","Ticket closed by admin after reply"
"This ticket is closed. To add a reply, please reopen the ticket first.","This ticket is closed. To add a reply, please reopen the ticket first."
"Ticket closed successfully!","Ticket closed successfully!"
"Ticket created successfully!","Ticket created successfully!"
"Ticket deleted successfully","Ticket deleted successfully"
"Ticket Departments","Ticket Departments"
"Ticket Details","Ticket Details"
"Ticket ID:","Ticket ID:"
"Ticket Information","Ticket Information"
"This ticket is closed and no longer accepts replies or modifications. Contact your administrator if you need to reopen this ticket.","This ticket is closed و no longer accepts replies أو modifications. Contact your administrator if you need to reopen this ticket."
"Ticket not found or you don&#039;t have permission to view it.","Ticket not found أو you don&#039;t have permission to view it."
"Ticket reopened successfully!","Ticket reopened successfully!"
"This ticket requires immediate attention!","This ticket requires immediate attention!"
"ticket(s)?","ticket(s)?"
"ticket(s) selected","ticket(s)selected"
"Ticket updated successfully!","Ticket updated successfully!"
"Tickets","تذاكر الدعم"
"Tickets deleted successfully","Tickets deleted successfully"
"Time Format","Time Format"
"Timeline","Timeline"
"Timezone","المنطقة الزمنية"
"Title","العنوان"
"TLS","TLS"
"To","إلى"
" to update the version.","لتحديث الإصدار."
"Toggle between sandbox and live mode","Toggle between sandbox و الوضع المباشر"
"Toggle Switch","Toggle Switch"
"Token Abilities","Token Abilities"
"Top","أعلى"
"Top Departments","Top Departments"
"Total","الإجمالي"
"Total Campaigns","Total Campaigns"
"Total Clients","Total Clients"
"Total Credit Remaining","Total Credit Remaining"
"Total Credits","Total Credits"
"Total Days","Total Days"
"Total Departments","Total Departments"
"Total Earnings","Total Earnings"
"Total Invoices","Total Invoices"
"Total Keys:","Total Keys:"
"Total number of attachments cannot exceed 5 files.","Total number of attachments cannot exceed 5 files."
"Total Savings","Total Savings"
"Total Size:","Total Size:"
"Total Subscriptions","إجمالي الاشتراكات"
"Total Tickets:","Total Tickets:"
"Total Tickets","Total Tickets"
"Total Transactions","Total Transactions"
"Total Usage","Total Usage"
"Total Users","Total Users"
"Total Uses","Total Uses"
"Track message delivery, read receipts, and engagement metrics.","Track message delivery, read receipts, و engagement metrics."
"Transaction Details","Transaction Details"
"Transaction History","Transaction History"
"Transaction Id","Transaction Id"
"Transaction Summary","Transaction Summary"
"Transactions","Transactions"
"Translate","Translate"
"Translate Language","Translate Language"
"Translation keys found","Translation keys found"
"Translation Management","Translation Management"
"Translation Statistics","Translation Statistics"
"Translation Stats","Translation Stats"
"Translation updated successfully","Translation updated successfully"
"Translations:","Translations:"
"Trial","تجريبي"
"Trial Days","Trial Days"
"Number of days for free trial (0 for no trial)","Number of days for free trial(0 for no trial)"
"Trial Ends","Trial Ends"
"Trial Ends At","Trial Ends At"
"Try adjusting your search terms","Try adjusting your search terms"
"Type","النوع"
"Unavailable","غير متاح"
"Unique Feature","Unique Feature"
"Unique Feature Description","Unique Feature Description"
"Unique Feature Image","Unique Feature Image"
"Unique Feature List","Unique Feature List"
"Unique Feature settings","Unique Feature settings"
"Unique Feature Subtitle","Unique Feature Subtitle"
"Unique Feature Title","Unique Feature Title"
"Unique Tenants","Unique Tenants"
"Units","Units"
"Unknown Tenant","Unknown Tenant"
"Unlimited","Unlimited"
"Unpaid","Unpaid"
"Unread Tickets","Unread Tickets"
"Unsupported payment provider:","Unsupported payment provider:"
"Update Assigned","Update Assigned"
"Updated Base Currency","Updated Base Currency"
"Update","تحديث"
"Update Password","Update Password"
"Update Plan","Update Plan"
"Update priority if necessary","Update priority if necessary"
"Update Tenant","Update Tenant"
"Update Ticket","Update Ticket"
"Update your Open Graph Settings","Update your Open Graph Settings"
"Update your Partner Logo Settings","Update your Partner Logo Settings"
"Update your SEO Settings","Update your SEO Settings"
" Updating module...","جاري تحديث الوحدة..."
" Updating system...","جاري تحديث النظام..."
"Accept UPI, cards, net banking and digital wallets","Accept UPI, cards, net banking و digital wallets"
"Upload failed","Upload failed"
"Upload failed. Please try again.","Upload failed. Please try again."
"Upload File","Upload File"
"Upload Files","Upload Files"
"Upload Language File","Upload Language File"
"Maximum file size: 2MB • File must be named:","Maximum file size: 2MB • File must be named:"
"Selected image preview","Selected image preview"
"Uploading","جاري الرفع"
"Urgent","Urgent"
"Urgent attention","Urgent attention"
"URL","URL"
"Usage","Usage"
"Usage History","Usage History"
"Use descriptive, understandable department names","Use descriptive, understandable department names"
"Use -1 for unlimited","Use -1 for unlimited"
"Use this url in your gateway webhook settings","Use this url in your gateway webhook settings"
"Use this URL in your Meta for Developers webhook configuration.","Use this URL in your Meta for Developers webhook configuration."
"User","مستخدم"
"User activated successfully","User activated successfully"
"User Deactivated","User Deactivated"
"User deactivated successfully","User deactivated successfully"
"User deleted successfully","User deleted successfully"
"User not found","User not found"
"User not verified","User not verified"
"User saved successfully","User saved successfully"
"User updated successfully","User updated successfully"
"Username","اسم المستخدم"
"Users","المستخدمون"
"List of users using this role","قائمة المستخدمين الذين يستخدمون هذا الدور"
"uses","uses"
"USSD Payments","USSD Payments"
"Must use Re-Captcha v3 in credentials setup. Be careful, the wrong settings will make the login system interruption.","Must use Re-Captcha v3 in credentials setup. Be careful, the wrong settings will make the login system interruption."
"Make sure to enter valid currency ISO code.","Make sure to enter valid currency ISO code."
"Validation failed due to unexpected error","Validation failed due to unexpected error"
"Value","القيمة"
"A new verification link has been sent to your email address.","تم إرسال رابط تحقق جديد إلى بريدك الإلكتروني."
"Verify Email","Verify Email"
"Thanks for signing up! Before getting started, could you verify your email address by clicking on the link we just emailed to you? If you didn&#039;t receive the email, we will gladly send you another.","Thanks for signing up! Before getting started, could you verify your email address by clicking on the link we just emailed to you? If you didn&#039;t receive the email, we will gladly send you another."
"Verify Webhook Connection","Verify Webhook Connection"
"Version","الإصدار"
"Version Information","Version Information"
"View","عرض"
"View All Invoices","View All Invoices"
"View all transactions","View all transactions"
"View Documentation","View Documentation"
"View PDF","View PDF"
"View Template","View Template"
"Clear compiled views to make views up to date.","Clear compiled views to make views up to date."
"View Tickets","View Tickets"
"View WhatsApp Webhook Documentation","View WhatsApp Webhook Documentation"
"Visible","مرئي"
"Visit Site","Visit Site"
"vs previous","vs previous"
"Warning","تحذير"
"We&#039;re not accepting new tenant registrations at the moment. Please check back later or contact support if you have questions.","We&#039;re not accepting new tenant registrations at the moment. Please check back later أو contact support if you have questions."
"We recommend generating a webhook secret to secure your payment events","We recommend generating a webhook secret to secure your payment events"
"Whatsapp Webhook","Whatsapp Webhook"
"Webhook","خطاف ويب"
"Webhook configuration","Webhook configuration"
"Use this URL in your Stripe dashboard to configure webhooks","Use this URL in your Stripe dashboard to configure webhooks"
"Webhook configurations stored in your application database.","Webhook configurations stored in your application database."
"Webhook connected successfully","Webhook connected successfully"
"Webhook Connection","Webhook Connection"
"Webhook created successfully.","Webhook created successfully."
"Webhook deleted successfully.","Webhook deleted successfully."
"Webhook Endpoint Url","Webhook Endpoint Url"
"Webhook Endpoint URL","Webhook Endpoint URL"
"Webhook Events","Webhook Events"
"Webhook Id","Webhook Id"
"Webhook ID:","Webhook ID:"
"Webhook ID updated successfully.","Webhook ID updated successfully."
"Webhook Resend Method","Webhook Resend Method"
"Webhook Secret","Webhook Secret"
"Your Stripe webhook signing secret (starts with whsec_)","Your Stripe webhook signing secret(starts with whsec_)"
"Webhook secret for verification","Webhook secret for verification"
"Webhook secret is configured","Webhook secret is configured"
"Webhook secret is stored securely and not displayed for security reasons","Webhook secret is stored securely و not displayed for security reasons"
"Webhook secret not configured","Webhook secret not configured"
"Webhook secret updated successfully.","Webhook secret updated successfully."
"Webhook Settings","Webhook Settings"
"Webhook Setup Instructions","Webhook Setup Instructions"
"Webhook updated successfully.","Webhook updated successfully."
"Webhook URL","Webhook URL"
"Webhook URL copied to clipboard","Webhook URL copied to clipboard"
"Webhook verified","Webhook verified"
"Webhooks","خطافات الويب"
"Webhooks configured successfully.","Webhooks configured successfully."
"Website","الموقع الإلكتروني"
"Website SEO &amp; OG","Website SEO &amp; OG"
"Website SEO &amp; Open Graph","Website SEO &amp; Open Graph"
"Website SEO settings","Website SEO settings"
"Website Settings","Website Settings"
"Welcome Back","Welcome Back"
"Welcome to your admin dashboard","Welcome to your admin dashboard"
"Whatsapp Auto Lead","Whatsapp Auto Lead"
"Whatsapp Webhook","Whatsapp Webhook"
"WhatsApp Webhook Configuration","WhatsApp Webhook Configuration"
"WhatsApp webhook disconnected successfully.","WhatsApp webhook disconnected successfully."
"Whatsmark Ping Received","Whatsmark Ping Received"
"When enabled, bank details will appear on invoice documents.","When enabled, bank details will appear on invoice documents."
"Will be deleted","Will be deleted"
"This logo will be displayed on your site.","This logo will be displayed on your site."
"With Layout","With Layout"
"With Tickets","With Tickets"
"Without Tickets","Without Tickets"
"Worker Active","Worker Active"
"Worker Inactive","Worker Inactive"
"Workers","Workers"
"Yearly","Yearly"
"Yes, Approve","Yes, Approve"
"Yes, Reject","Yes, Reject"
"You&#039;re about to pause subscription for tenant","You&#039;re about to pause subscription for tenant"
"You can attach files to provide additional context or evidence for the ticket.","You can attach files to provide additional context أو evidence for the ticket."
"You cannot delete this reply. Replies can only be deleted by admins within","You cannot delete this reply. Replies can only be deleted by admins within"
"You can&#039;t delete this tenant because it&#039;s connected to subscriptions","You can&#039;t delete this tenant because it&#039;s connected to subscriptions"
"You have selected the plan:","You have selected the plan:"
"Your Company Name","Your Company Name"
"Your Version","Your Version"
"You&#039;re about to resume subscription for tenant","You&#039;re about to resume subscription for tenant"
"yr","yr"
