"English","العربية"
"Detailed instructions for tenants on how to complete the payment","تعليمات مفصلة للمستأجرين حول كيفية إكمال الدفع"
"Detailed Statistics &amp; Analytics","إحصائيات وتحليلات مفصلة"
"Details","التفاصيل"
"To optimize performance and security, change the settings in your `.env` file as follows:","To optimize performance و security, change the settings in your `.env` file as follows:"
"In development or debug mode, you may encounter detailed errors and deprecation warnings.","In development أو debug mode, you may encounter detailed errors و deprecation warnings."
"Application is running in development/debug mode!","التطبيق يعمل في وضع التطوير/التشخيص!"
"Disabled production mode successfully","تم تعطيل وضع الإنتاج بنجاح"
"Disabled","معطّل"
"Disconnect Webhook","قطع اتصال Webhook"
"Disconnected","منفصل"
"Display Bank Details on Invoices","عرض تفاصيل البنك في الفواتير"
" Don&#039;t have an account ?","ليس لديك حساب؟"
"Do you want custom services? Visit here and create your ticket","Do you want custom services? Visit here و create your ticket"
"Documentation","التوثيق"
"Doe","دو"
"Domain","النطاق"
"Domain Settings","إعدادات النطاق"
"Don&#039;t have an account ?","ليس لديك حساب؟"
"Download","تحميل"
"Download failed","فشل التحميل"
"Download Invoice","تحميل الفاتورة"
"Download Update","تحميل التحديث"
"Drag and drop your JSON file here, or click to browse","Drag و drop your JSON file here, أو انقر للتصفح"
"Driver Settings","إعدادات المحرك"
"Due Date:","تاريخ الاستحقاق:"
"Duplicate Message Detected","تم اكتشاف رسالة مكررة"
"During this time, their subscription will be paused and they won&#039;t be billed","During this time, their subscription will be paused و they won&#039;t be billed"
"Earnings Report","تقرير الأرباح"
"Ecommerce Webhooks","خطافات التجارة الإلكترونية"
"Edit","تعديل"
"Edit Coupon","تعديل الكوبون"
"Edit Department","تعديل القسم"
"Edit english language not allowed","تعديل اللغة الإنجليزية غير مسموح"
"Edit Plan","تعديل الخطة"
"Edit Role","تعديل الدور"
"Edit Template","تعديل القالب"
"Edit Tenant Language","تعديل لغة المستأجر"
"Edit Tenant","تعديل المستأجر"
"Editing Template","تعديل القالب"
"Effortless WhatsApp Marketing","تسويق واتساب سهل"
"Email","البريد الإلكتروني"
"Email Configuration is required","تكوين البريد الإلكتروني مطلوب"
"Email Content","محتوى البريد الإلكتروني"
"Email:","البريد الإلكتروني:"
"This email was sent to notify you of client activity requiring attention.","تم إرسال هذا البريد الإلكتروني لإعلامك بنشاط العميل الذي يتطلب الانتباه."
"Email Password Reset Link","رابط إعادة تعيين كلمة مرور البريد الإلكتروني"
"Email Preview","معاينة البريد الإلكتروني"
"reCAPTCHA verification failed. Please try again.","فشل التحقق من reCAPTCHA. يرجى المحاولة مرة أخرى."
"Email sent successfully using Laravel Emails package! Check your inbox.","تم إرسال البريد الإلكتروني بنجاح باستخدام حزمة Laravel Emails! تحقق من صندوق الوارد."
"This email was sent to notify you of new ticket activity.","تم إرسال هذا البريد الإلكتروني لإعلامك بنشاط تذكرة جديد."
"Email sent successfully","تم إرسال البريد الإلكتروني بنجاح"
"Email Configuration","تكوين البريد الإلكتروني"
"Manage SMTP settings, email templates, and outgoing communication preferences to ensure reliable and professional email communications.","إدارة إعدادات SMTP وقوالب البريد الإلكتروني وتفضيلات الاتصالات الصادرة لضمان اتصالات بريد إلكتروني موثوقة واحترافية."
"Email Subject","موضوع البريد الإلكتروني"
"Email Template Editor","محرر قالب البريد الإلكتروني"
"Email Template update Failed","فشل تحديث قالب البريد الإلكتروني"
"Email Template updated successfully","تم تحديث قالب البريد الإلكتروني بنجاح"
"Email Templates","قوالب البريد الإلكتروني"
"Email Verification","التحقق من البريد الإلكتروني"
"A new verification link has been sent to the email address you provided during registration.","تم إرسال رابط تحقق جديد إلى عنوان البريد الإلكتروني الذي قدمته أثناء التسجيل."
"Embedded Signup","التسجيل المدمج"
"Emergency","طارئ"
"JSON content is empty","محتوى JSON فارغ"
"Rest API","واجهة برمجية REST"
"Enable API Access","تفعيل الوصول إلى API"
"Enable Debug Mode","تفعيل وضع التصحيح"
"Enable Desktop Notifications","تفعيل إشعارات سطح المكتب"
"Enable Email Confirmation From Administrator","تفعيل تأكيد البريد الإلكتروني من المسؤول"
"Enable Email Verification","تفعيل التحقق من البريد الإلكتروني"
"Enable offline payments","تفعيل المدفوعات غير المتصلة"
"Enable or disable public tenant registration. If disabled, new tenants cannot access the registration page.","تفعيل أو disable public tenant registration. If disabled, new tenants cannot access the registration page."
"Enable or disable public tenant registration. If disabled, new tenants cannot access the registration page.","تفعيل أو disable public tenant registration. If disabled, new tenants cannot access the registration page."
"Enable Paypal Payments","تفعيل مدفوعات PayPal"
"Allow customers to pay using Payments","السماح للعملاء بالدفع باستخدام المدفوعات"
"Enable Paystack Payments","تفعيل مدفوعات Paystack"
"Allow customers to pay using Paystack","السماح للعملاء بالدفع باستخدام Paystack"
"Enable Production Mode","تفعيل وضع الإنتاج"
"Enabled production mode successfully","تم تفعيل وضع الإنتاج بنجاح"
"Enable Razorpay Payments","تفعيل مدفوعات Razorpay"
"Allow customers to pay using Razorpay","السماح للعملاء بالدفع باستخدام Razorpay"
"Enable Real Time Notifications","تفعيل الإشعارات في الوقت الفعلي"
"Enable Re-Captcha?","تفعيل Re-Captcha؟"
"Enable Registration","تفعيل التسجيل"
"Enable Send Welcome Mail","تفعيل إرسال رسالة الترحيب"
"Enable Stripe Payments","تفعيل مدفوعات Stripe"
"Toggle to enable/disable Stripe payment gateway","تبديل لتمكين/تعطيل بوابة دفع Stripe"
"Enable Tax Collection","تفعيل تحصيل الضرائب"
"Enable WebHooks Re-send","تفعيل إعادة إرسال Webhooks"
"Enabled","مُفعّل"
"Enabled Events","الأحداث المفعّلة"
"End Date","تاريخ الانتهاء"
"Endpoint URL","رابط نقطة النهاية"
"Ends","ينتهي"
"Ends At","ينتهي في"
"Engage with your customers seamlessly","تفاعل مع عملائك بسلاسة"
"Engage Tenants","تفاعل مع المستأجرين"
"English To","الإنجليزية إلى"
"Enter confirm password","أدخل تأكيد كلمة المرور"
"Please enter your credentials to continue","يرجى إدخال بيانات الاعتماد الخاصة بك للمتابعة"
"Enter department description (optional)","أدخل وصف القسم (اختياري)"
"Enter Email Address","أدخل عنوان البريد الإلكتروني"
"Enter email subject","أدخل موضوع البريد الإلكتروني"
"Enter Firstname","أدخل الاسم الأول"
"Enter Lastname","أدخل اسم العائلة"
"Enter Limit","أدخل الحد"
"Enter Password","أدخل كلمة المرور"
"Enter payment instructions for customers","أدخل تعليمات الدفع للعملاء"
"Enter Phone Number","أدخل رقم الهاتف"
"Enter Plan Description","أدخل وصف الخطة"
"Enter Plan Name","أدخل اسم الخطة"
"Enter Plan Price","أدخل سعر الخطة"
"Enter Role Name","أدخل اسم الدور"
"enter_the_url_above_and_select_these_events","enter_the_url_above_and_select_these_events"
"Enter the Verify Token provided above","أدخل رمز التحقق المذكور أعلاه"
"Enter the Webhook URL provided above","أدخل رابط Webhook المذكور أعلاه"
"Enter your Facebook App ID","أدخل معرّف تطبيق فيسبوك الخاص بك"
"Enter your Facebook App Secret","أدخل الرمز السري لتطبيق فيسبوك"
"Enter your Facebook Config ID","أدخل معرّف تكوين فيسبوك"
"env updated successfully","تم تحديث البيئة بنجاح"
"Environment","البيئة"
"Environment file changed, cache cleared ","تم تغيير ملف البيئة، تم مسح ذاكرة التخزين المؤقت"
"Environment Updated","تم تحديث البيئة"
"Error","خطأ"
"Error assigning ticket to department.","خطأ في تعيين التذكرة للقسم."
"There was an error assigning the ticket to the department.","حدث خطأ في تعيين التذكرة للقسم."
"Error configuring webhooks:","خطأ في تكوين Webhooks:"
"Error loading extension information: ","خطأ في تحميل معلومات الامتداد:"
"Error loading server information: ","خطأ في تحميل معلومات الخادم:"
"Error loading system information: ","خطأ في تحميل معلومات النظام:"
"Failed remove the testimonial.","فشلت إزالة الشهادة."
"Error | WhatsMark - Saas","خطأ | WhatsMark - Saas"
"Error saving plan","خطأ في حفظ الخطة"
"There was an error updating the ticket priority.","حدث خطأ في تحديث أولوية التذكرة."
"There was an error updating the ticket status.","حدث خطأ في تحديث حالة التذكرة."
"Error updating ticket status.","خطأ في تحديث حالة التذكرة."
"Event","حدث"
"Example Endpoint for get Plans it will consist of API base url and token.You need to pass token as Bearer Token","Example Endpoint for get Plans it will consist of API base url و token.You need to pass token as Bearer Token"
"Exchange Rate","سعر الصرف"
"Existing Attachments","المرفقات الموجودة"
"Expired","منتهي الصلاحية"
"EXPIRES","EXPIRES"
"Expires At","تنتهي في"
"Expires On","تنتهي في"
"Expiring Subscriptions","الاشتراكات المنتهية قريباً"
"Export Departments","تصدير الأقسام"
"Facebook App ID","معرّف تطبيق فيسبوك"
"Facebook App ID and Secret from your Meta for Developers account","معرّف تطبيق فيسبوك و Secret from your Meta for Developers account"
"Facebook App Secret","الرمز السري لتطبيق فيسبوك"
"Facebook Config ID (for Emabadded Signup)","معرّف تكوين فيسبوك (للتسجيل المدمج)"
"Failed","فشل"
"Failed to configure webhooks. Check the application logs for details.","فشل تكوين Webhooks. تحقق من سجلات التطبيق للحصول على التفاصيل."
"Failed payment","فشل الدفع"
"Failed to send test email:","فشل إرسال البريد الاختباري:"
"Failed to clear cache: ","فشل مسح ذاكرة التخزين المؤقت:"
"Failed to clear cache after env change:","فشل مسح ذاكرة التخزين المؤقت بعد تغيير البيئة:"
"Failed to configure webhook: ","فشل تكوين Webhook:"
"Failed to create language file","فشل إنشاء ملف اللغة"
"Failed to delete language","فشل حذف اللغة"
"Failed To Delete Plan","فشل حذف الخطة"
"Failed to delete webhook:","فشل حذف Webhook:"
"Failed to disconnect webhook:","فشل قطع اتصال Webhook:"
"Failed to execute cronjob","فشل تنفيذ مهمة Cron"
"Failed to fetch plans","فشل جلب الخطط"
"Failed to get webhook details:","فشل الحصول على تفاصيل Webhook:"
"Failed to list products:","فشل عرض المنتجات:"
"Failed to list webhooks:","فشل عرض Webhooks:"
"Failed to load release data","فشل تحميل بيانات الإصدار"
"Failed to load webhooks: ","فشل تحميل Webhooks:"
"Failed to reinitialize cache service: ","فشل إعادة تهيئة خدمة ذاكرة التخزين المؤقت:"
"Failed to remove profile image","فشل إزالة صورة الملف الشخصي"
"Failed to save changes:","فشل حفظ التغييرات:"
"Failed to save language","فشل حفظ اللغة"
"Failed to save settings:","فشل حفظ الإعدادات:"
"Failed to save ticket","فشل حفظ التذكرة"
"Failed to send mail.","فشل إرسال البريد."
"Failed to send test email:","فشل إرسال البريد الاختباري:"
"Failed to update environment","فشل تحديث البيئة"
"Failed to update optimization settings","فشل تحديث إعدادات التحسين"
"Failed to update payment status","فشل تحديث حالة الدفع"
"Failed To Update plan Status","فشل تحديث حالة الخطة"
"Failed to update production mode","فشل تحديث وضع الإنتاج"
"Failed to update status","فشل تحديث الحالة"
"Failed to upload:","فشل الرفع:"
"Failed to upload attachment:","فشل رفع المرفق:"
"FAQ","FAQ"
"FAQ delete failed","فشل حذف السؤال الشائع"
"Faq deleted successfully","تم حذف السؤال الشائع بنجاح"
"FAQ is now hidden","السؤال الشائع مخفي الآن"
"FAQ order has been updated successfully","تم تحديث ترتيب الأسئلة الشائعة بنجاح"
"FAQ save failed","فشل حفظ السؤال الشائع"
"FAQ created successfully","تم إنشاء السؤال الشائع بنجاح"
"Faq Section Subtitle","العنوان الفرعي لقسم الأسئلة الشائعة"
"Faq Section Title","عنوان قسم الأسئلة الشائعة"
"FAQ updated successfully","تم تحديث السؤال الشائع بنجاح"
"FAQ is now visible","السؤال الشائع مرئي الآن"
"FAQs","الأسئلة الشائعة"
"Favicon","أيقونة الموقع"
"Feature One","الميزة الأولى"
"Feature Description","وصف الميزة"
"Feature Image","صورة الميزة"
"Feature List","قائمة الميزات"
"Feature settings","إعدادات الميزة"
"Feature Subtitle","العنوان الفرعي للميزة"
"Feature Three","الميزة الثالثة"
"Feature Title","عنوان الميزة"
"Feature Two","الميزة الثانية"
"Featured","مميز"
"Featured Plan","الخطة المميزة"
"Highlight this plan on subscription pages","سلّط الضوء على هذه الخطة في صفحات الاشتراك"
"Features","الميزات"
"Fee","الرسوم"
"(File)","(الملف)"
"The file must be a valid JSON file","يجب أن يكون الملف ملف JSON صالح"
"The uploaded file name must match this exact pattern","يجب أن يطابق اسم الملف المرفوع هذا النمط بالضبط"
"File size","حجم الملف"
"File size exceeds the maximum limit of","حجم الملف يتجاوز الحد الأقصى وهو"
"File structure","بنية الملف"
"File Upload","رفع الملف"
"File uploads disabled - ticket is closed.","تم تعطيل رفع الملفات - التذكرة مغلقة."
"File Validation Errors:","أخطاء التحقق من الملف:"
"Validation failed","فشل التحقق"
"File validation successful!","نجح التحقق من الملف!"
"Fill in the information below to create a new support ticket","املأ المعلومات أدناه لإنشاء تذكرة دعم جديدة"
"Filter Subscriptions","تصفية الاشتراكات"
"Final Total","الإجمالي النهائي"
"First","الأول"
"First Name","الاسم الأول"
"Firstname","الاسم الأول"
"Please fix the upload errors before saving.","يرجى إصلاح أخطاء الرفع قبل الحفظ."
"Fixed Amount","مبلغ ثابت"
"Flow Builder","منشئ التدفق"
"Flow Builder Limit","حد منشئ التدفق"
"For Offline Payments","للمدفوعات غير المتصلة"
"For support, you can contact the admin at","للدعم، يمكنك الاتصال بالمسؤول على"
"Forgot password","نسيت كلمة المرور"
"Forgot Password","نسيت كلمة المرور"
"Free","مجاني"
"Free Plan","خطة مجانية"
"This plan will be offered for free with no billing","سيتم تقديم هذه الخطة مجاناً بدون فوترة"
"From","من"
"General inquiries or minor issues","General inquiries أو minor issues"
"Generate from name","توليد من الاسم"
"Generate from title","توليد من العنوان"
"Generate New Token","توليد رمز جديد"
"Generate Secret","توليد سر"
"Get Started In Minutes","ابدأ خلال دقائق"
"Get started by adding your first tax rate","ابدأ بإضافة أول معدل ضريبة"
"Get started by creating a new plan","ابدأ بإنشاء خطة جديدة"
"Get started by creating new faq","ابدأ بإنشاء سؤال شائع جديد"
"Get started","ابدأ الآن"
"Failed to get webhook details: ","فشل الحصول على تفاصيل Webhook:"
"Global payment solution with PayPal and credit cards","Global payment solution with PayPal و credit cards"
"Go Back Home","العودة إلى الرئيسية"
"Guidelines","الإرشادات"
"Has Custom Domain","له نطاق مخصص"
"Hello","مرحباً"
"We&#039;ll help you reset your password and get back to your account","We&#039;ll help you reset your password و get back to your account"
"here","here"
"Hero Section","قسم البطل"
"Update your Hero Section Settings.","تحديث إعدادات القسم الرئيسي."
"Hero Section settings","إعدادات قسم البطل"
"Hide Preview","إخفاء المعاينة"
"High","عالي"
"High Priority","أولوية عالية"
"🚨 HIGH PRIORITY TICKET 🚨","🚨 تذكرة ذات أولوية عالية 🚨"
"Highest Credit","أعلى رصيد"
"Hit Rate:","معدل النجاح:"
"Hold Ctrl key (or Command on Mac) to select multiple items","اضغط مع الاستمرار على مفتاح Ctrl (أو Command على Mac) لتحديد عدة عناصر"
"Home","الرئيسية"
"Horizon Available","Horizon متاح"
"html markdown supported","دعم HTML و Markdown"
"Iban","رقم الحساب الدولي"
"ID","ID"
"IFSC Code","كود IFSC"
"Image","الصورة"
"Image Alt Text","النص البديل للصورة"
"Image removed successfully!","تم إزالة الصورة بنجاح!"
" Please configure your mail server settings accurately. This application will rely on your specified mail server to handle email delivery. Errors encountered during email operations are typically due to incorrect server settings. Ensure all credentials, such as the port, encryption method, and SMTP details, are correct. Use the Send Test Email button to validate your configuration. If an error occurs, review your settings and try again.","يرجى تكوين إعدادات خادم البريد بدقة. سيعتمد هذا التطبيق على خادم البريد المحدد للتعامل مع تسليم البريد الإلكتروني. الأخطاء التي تحدث أثناء عمليات البريد الإلكتروني عادة ما تكون بسبب إعدادات الخادم غير الصحيحة. تأكد من صحة جميع بيانات الاعتماد، مثل المنفذ وطريقة التشفير وتفاصيل SMTP. استخدم زر إرسال بريد اختباري للتحقق من صحة التكوين. إذا حدث خطأ، راجع إعداداتك وحاول مرة أخرى."
"You will be logged in as this user and can perform actions on their behalf.","You will be logged in as this user و can perform actions on their behalf."
"To exit impersonation, look for the exit button in the admin bar.","للخروج من الانتحال، ابحث عن زر الخروج في شريط المسؤول."
"Important Information","معلومات مهمة"
"Important issues that should be addressed soon","مشاكل مهمة يجب معالجتها قريباً"
"Important Notes","ملاحظات مهمة"
"Important Update Notice","إشعار تحديث مهم"
"Improvement","تحسين"
"In your stripe dashboard go to","في لوحة تحكم Stripe انتقل إلى"
"Inactive","غير نشط"
"Inactive Departments","الأقسام غير النشطة"
"Include all relevant details in the description","ضمّن جميع التفاصيل ذات الصلة في الوصف"
"Info","معلومات"
"Information about your configured Stripe webhooks.","معلومات حول webhooks Stripe المُكوّنة."
"Install PHP Redis extension (php-redis)","تثبيت امتداد PHP Redis (php-redis)"
"Install Redis server on your system","ثبّت خادم Redis على نظامك"
"Invalid email address","عنوان بريد إلكتروني غير صالح"
"Invalid file type. Allowed:","نوع ملف غير صالح. المسموح:"
"Invalid JSON format","تنسيق JSON غير صالح"
"Invalid payment authentication link. Please request a new payment link.","رابط مصادقة الدفع غير صالح. يرجى طلب رابط دفع جديد."
"Invalid PayPal Client ID format","تنسيق معرف عميل PayPal غير صالح"
"Invalid PayPal Client Secret format","تنسيق سر عميل PayPal غير صالح"
"Invalid Razorpay Key ID format. Must start with rzp_test_ or rzp_live_","Invalid Razorpay Key ID format. Must start with rzp_test_ أو rzp_live_"
"Invalid Stripe publishable key format. It should start with &#039;pk_test_&#039; or &#039;pk_live_&#039;","Invalid Stripe publishable key format. It should start with &#039;pk_test_&#039; أو &#039;pk_live_&#039;"
"Invalid Stripe secret key format. It should start with &#039;sk_test_&#039; or &#039;sk_live_&#039;","Invalid Stripe secret key format. It should start with &#039;sk_test_&#039; أو &#039;sk_live_&#039;"
"Invalid Stripe webhook secret format. It should start with &#039;whsec_&#039;","تنسيق سر webhook Stripe غير صالح. يجب أن يبدأ بـ &#039;whsec_&#039;"
"Invalid testimonial image","صورة شهادة غير صالحة"
"Invoice","الفاتورة"
"Invoice Date","تاريخ الفاتورة"
"Invoice Details","تفاصيل الفاتورة"
"Invoice Footer Text","نص تذييل الفاتورة"
"Invoice Information","معلومات الفاتورة"
"Invoice Items","عناصر الفاتورة"
"Invoice Number","رقم الفاتورة"
"Invoice #","الفاتورة #"
"Invoice Settings","إعدادات الفاتورة"
"Invoice Summary","ملخص الفاتورة"
"Invoices","الفواتير"
"Is Enable","مفعّل"
"Display landing Page","عرض صفحة الهبوط"
"✓ Use ISO currency codes (e.g., USD, EUR, GBP)","✓ استخدم رموز عملة ISO (مثل USD، EUR، GBP)"
"Issue resolved","تم حل المشكلة"
"John","جون"
"Join Us Today","انضم إلينا اليوم"
"Joined","انضم"
"JSON must be an object/array","يجب أن يكون JSON كائناً/مصفوفة"
"Just now","الآن"
"Key Id","معرّف المفتاح"
"Key Secret","سر المفتاح"
"Keys found","تم العثور على مفاتيح"
"Language","اللغة"
"Language added successfully","تمت إضافة اللغة بنجاح"
"All languages are already in sync","جميع اللغات متزامنة بالفعل"
"Language Code","كود اللغة"
"Language deleted successfully","تم حذف اللغة بنجاح"
"Language deleted successfully","تم حذف اللغة بنجاح"
"Language file not found","ملف اللغة غير موجود"
"Language file updated successfully","تم تحديث ملف اللغة بنجاح"
"Language Manager","مدير اللغات"
"Language Name","اسم اللغة"
"Language switched successfully","تم تبديل اللغة بنجاح"
"Language synchronized successfully","تمت مزامنة اللغة بنجاح"
"Language updated successfully","تم تحديث اللغة بنجاح"
"Language updated successfully","تم تحديث اللغة بنجاح"
"Languages","اللغات"
"Languages Supported","اللغات المدعومة"
"Last","الأخير"
"Last Activity","آخر نشاط"
"Last Activity:","آخر نشاط:"
"Last checked at","آخر فحص في"
"Last Cleared:","آخر مسح:"
"Last Name","اسم العائلة"
"Last Synced with Stripe","آخر مزامنة مع Stripe"
"Last Updated:","آخر تحديث:"
"Lastname","اسم العائلة"
"Latest Invoice","آخر فاتورة"
"Latest Invoice ID","معرّف آخر فاتورة"
"Latest Payment","آخر دفعة"
"Latest Reply from","آخر رد من"
"Latest Version","أحدث إصدار"
"Leave blank to use the default pusher cluster.","اترك فارغاً لاستخدام pusher cluster الافتراضي."
"Leave blank to keep current password","اترك فارغاً للإبقاء على كلمة المرور الحالية"
"Leave empty to use default admin email","اترك فارغاً لاستخدام البريد الإلكتروني الافتراضي للمدير"
"Level","المستوى"
"Light","فاتح"
"Link","الرابط"
"You can learn more about cronjob from the Laravel","يمكنك معرفة المزيد عن cronjob من Laravel"
"Link Storage.","ربط التخزين."
"Link Text","نص الرابط"
"Enter your email address and we&#039;ll send you a link to reset your password","Enter your email address و we&#039;ll send you a link to reset your password"
"Loading detailed statistics...","جارٍ تحميل الإحصائيات التفصيلية..."
"Loading plan data...","جارٍ تحميل بيانات الخطة..."
"Loading webhook details...","جارٍ تحميل تفاصيل Webhook..."
"Local","محلي"
"Local Webhook Records","سجلات Webhook المحلية"
"Localization","الترجمة"
"Log Out","تسجيل الخروج"
"Log Viewer","عارض السجلات"
"Logical Structure:","البنية المنطقية:"
"Log in","تسجيل الدخول"
"Login As","تسجيل الدخول كـ"
"Login As Tenant","تسجيل الدخول كمستأجر"
"Login as tenant successfully","تم تسجيل الدخول كمستأجر بنجاح"
"Login as Tenant User","تسجيل الدخول كمستخدم مستأجر"
"Login as User","تسجيل الدخول كمستخدم"
"Login","تسجيل الدخول"
"Logo Image","صورة الشعار"
"Logo to be removed","الشعار المراد إزالته"
"Logout","تسجيل الخروج"
"Low","منخفض"
"Mail sending failed","فشل إرسال البريد"
"Mail Successfully Sent.","تم إرسال البريد بنجاح."
"Manage","إدارة"
"Manage Coupons","إدارة الكوبونات"
"Manage credit balance and transaction history for this tenant","Manage credit balance و transaction history for this tenant"
"Manage departments for ticket categorization","إدارة الأقسام لتصنيف التذاكر"
"Manage payment gateways and subscription settings","Manage payment gateways و subscription settings"
"Manage subscriptions","إدارة الاشتراكات"
"Manage tenant credit balances and transaction history","Manage tenant credit balances و سجل المعاملات"
"Manage Theme","إدارة المظهر"
"Manage webhooks to enable seamless integration with external services.","إدارة Webhooks لتمكين التكامل السلس مع الخدمات الخارجية."
"Manage your account information and settings","Manage your account information و settings"
"Manage your subscription plans and pricing tiers","Manage your subscription plans و pricing tiers"
"Mark email as verified or send verification email","Mark email as verified أو send verification email"
"Mark Tenant for Deletion","وضع علامة على المستأجر للحذف"
"Maximum Queue Jobs","الحد الأقصى لمهام قائمة الانتظار"
"Set the maximum number of jobs that can be processed in a single queue run. It may impact the server performance.","تعيين الحد الأقصى لعدد المهام التي يمكن معالجتها في تشغيل قائمة انتظار واحدة. قد يؤثر ذلك على أداء الخادم."
"Maximum 5 files, 10MB each","الحد الأقصى 5 ملفات، 10 ميجابايت لكل منها"
"Maximum 5 files. Maximum size per file: 10MB. Allowed types:","الحد الأقصى 5 ملفات. الحد الأقصى لحجم الملف: 10 ميجابايت. الأنواع المسموحة:"
"Maximum 5 files are allowed per reply.","الحد الأقصى 5 ملفات لكل رد."
"Maximum file size:","الحد الأقصى لحجم الملف:"
"Medium","متوسط"
"Memory Usage","استخدام الذاكرة"
"Merge Fields","حقول الدمج"
"Message","الرسالة"
"Message Bots","بوتات الرسائل"
"Message Content","محتوى الرسالة"
"messages, message_template_status_update, account_update","الرسائل، تحديث حالة قالب الرسالة، تحديث الحساب"
"Meta Application Details","تفاصيل تطبيق Meta"
"Meta Description","الوصف التعريفي"
"Meta Developer Portal Setup Instructions:","تعليمات إعداد بوابة مطور Meta:"
"Meta for Developers","Meta للمطورين"
"meta vild card fasility support nathi kartu etle","ميتا لا تدعم ميزة البطاقات الجامحة"
"Meta WhatsApp API Webhook","Webhook لـ Meta WhatsApp API"
"Meta WhatsApp Business API Setup","إعداد Meta WhatsApp Business API"
"Method","الطريقة"
"Miscellaneous","متنوع"
"Manage miscellaneous settings and configurations for your application.","Manage miscellaneous settings و configurations for your application."
"Missing Translations","ترجمات مفقودة"
"mo","mo"
"Mobile Money","المال المحمول"
"Module Details","تفاصيل الوحدة"
"Module Update Management","إدارة تحديث الوحدات"
"Modules","الوحدات"
"Monitor","المراقبة"
"Monitor Horizon","مراقبة Horizon"
"Monthly","شهري"
"Monthly Revenue","الإيرادات الشهرية"
"Most Popular","الأكثر شعبية"
"Multi-Currency Support","دعم متعدد العملات"
"Multiple files can be attached","يمكن إرفاق ملفات متعددة"
"Must be one base currency","يجب أن تكون عملة أساسية واحدة"
"My Profile","ملفي الشخصي"
"Name","الاسم"
"Name:","الاسم:"
"Navigate to WhatsApp &gt; Setup in your app dashboard","انتقل إلى واتساب &gt; الإعداد في لوحة تحكم تطبيقك"
"Need help?","تحتاج مساعدة؟"
"Never","أبداً"
"New","جديد"
"New Attachments","مرفقات جديدة"
"New Client Reply","رد عميل جديد"
"New Client Reply - Ticket","رد عميل جديد - تذكرة"
"New Currency","عملة جديدة"
"New Department","قسم جديد"
"New Feature","ميزة جديدة"
"New Password","كلمة مرور جديدة"
"New Priority","أولوية جديدة"
"New Role","دور جديد"
"New Status","حالة جديدة"
"New Subscription","اشتراك جديد"
"New Support Ticket","تذكرة دعم جديدة"
"A new support ticket has been submitted and requires admin review.","A new support ticket has been submitted و requires admin review."
"New Tenant","مستأجر جديد"
"New Tenants","مستأجرون جدد"
"New ticket","تذكرة جديدة"
"A new ticket requires your attention","تذكرة جديدة تحتاج إلى انتباهك"
"New Update Available! The WhatsMark script has a new update.","يتوفر تحديث جديد! سكريبت WhatsMark لديه تحديث جديد."
"New User","مستخدم جديد"
"New webhook secret","سر webhook جديد"
"Next","التالي"
"Next Billing","الفوترة القادمة"
"Next invoice number in sequence","رقم الفاتورة التالي في التسلسل"
"No Active Subscription","لا يوجد اشتراك نشط"
"No changes to save.","لا توجد تغييرات للحفظ."
"No contact selected","لم يتم تحديد جهة اتصال"
"No Credit Balance","لا يوجد رصيد"
"No Credit Transactions","لا توجد معاملات رصيد"
"No custom domain has been configured for this tenant","لم يتم تكوين نطاق مخصص لهذا المستأجر"
"No department data available.","لا توجد بيانات قسم متاحة."
"No departments selected","لم يتم تحديد أقسام"
"No departments with tickets found.","لم يتم العثور على أقسام مع تذاكر."
"No expiring subscriptions","لا توجد اشتراكات منتهية"
"No FAQs available","لا توجد أسئلة شائعة متاحة"
"No Faqs Found","لم يتم العثور على أسئلة شائعة"
"No fields found","لم يتم العثور على حقول"
"No fields in category","لا توجد حقول في الفئة"
"No history available for this subscription.","لا يوجد سجل متاح لهذا الاشتراك."
"No invoices found","لم يتم العثور على فواتير"
"No local webhook records found.","لم يتم العثور على سجلات webhook محلية."
"No log entries.","لا توجد إدخالات سجل."
"No log entries found. The file may be empty.","لم يتم العثور على إدخالات سجل. قد يكون الملف فارغاً."
"No log file selected","لم يتم تحديد ملف سجل"
"No log files","لا توجد ملفات سجل"
"No matching fields in group","لا توجد حقول مطابقة في المجموعة"
"No merge fields available.","لا توجد حقول دمج متاحة."
"No more assignees to select","لا يوجد المزيد من المعيّنين للاختيار"
"No more taxes to select","لا يوجد المزيد من الضرائب للاختيار"
"You do not have permission to perform this action.","ليس لديك إذن لتنفيذ هذا الإجراء."
"No Plan Available","لا توجد خطة متاحة"
"There are no subscription plans available at the moment.","لا توجد خطط اشتراك متاحة في الوقت الحالي."
"No plans found","لم يتم العثور على خطط"
"No recent transactions","لا توجد معاملات حديثة"
"Email testing failed: No recipient address provided.","فشل اختبار البريد الإلكتروني: لم يتم تقديم عنوان المستلم."
"No recommendations available at this time","لا توجد توصيات متاحة في هذا الوقت"
"No release information available","لا توجد معلومات إصدار متاحة"
"No staff assigned","لم يتم تعيين موظفين"
"No Stripe webhooks are currently configured.","لا توجد webhooks Stripe مكونة حالياً."
"No subscriptions found.","لم يتم العثور على اشتراكات."
"No tax rates","لا توجد معدلات ضريبية"
"No templates found.","لم يتم العثور على قوالب."
"No themes found in your theme folder","لم يتم العثور على مظاهر في مجلد المظاهر"
"No Tickets Selected","لم يتم تحديد تذاكر"
